"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"121","1966","3","Gujarat","Ahmedabad","37.0","37.0","1000.0","103.0","74.0","718.45","98.3","9.8","99.69","3.7","2.6","702.7","102.0","12.4","121.57","81.0","43.0","530.86","0.2","0.1","500.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0","2.0","400.0","3.0","1.0","333.33","5.62","0.8","142.35","24.0","9.0","375.0","5.9","1.2","203.39","2.8","1.0","357.14","0.0","0.0","0.0","3.7","0.9","243.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37.51","-1.0","-1.0","0.1","0.6","6000.0","217.0","29.0","133.64","1.81","4.71","6.52","0.04","0.08","36.56"
"121","1967","3","Gujarat","Ahmedabad","46.0","50.0","1086.96","109.0","95.0","871.56","111.1","20.9","188.12","3.9","3.1","794.87","115.0","24.0","208.7","95.0","55.0","578.95","0.2","0.2","1000.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","500.0","5.0","1.0","200.0","7.34","1.8","245.23","20.0","10.0","500.0","6.0","1.1","183.33","2.3","0.8","347.83","2.1","0.0","0.0","3.9","1.6","410.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33.47","-1.0","-1.0","0.1","0.7","7000.0","176.0","25.0","142.05","1.88","3.89","5.77","0.12","0.16","52.2"
"121","1968","3","Gujarat","Ahmedabad","36.9","37.0","1002.71","85.2","54.0","633.8","97.0","5.3","54.64","0.8","0.1","125.0","97.8","5.4","55.21","93.5","45.0","481.28","0.1","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","2.3","1.0","434.78","3.3","1.0","303.03","6.82","-1.0","-1.0","19.2","6.0","312.5","4.6","0.8","173.91","0.7","0.2","285.71","0.7","0.0","0.0","3.7","1.8","486.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.03","-1.0","-1.0","0.3","1.2","4000.0","238.2","32.0","134.34","1.98","3.57","5.54","0.06","0.0","45.14"
"121","1969","3","Gujarat","Ahmedabad","31.6","21.0","664.56","62.3","70.2","1126.81","114.2","14.7","128.72","1.1","0.8","727.27","115.3","15.5","134.43","110.8","99.2","895.31","0.1","0.0","0.0","0.8","0.2","250.0","0.0","0.0","0.0","1.0","0.5","500.0","2.7","0.6","222.22","6.3","0.61","96.83","8.5","5.4","635.29","2.9","1.0","344.83","0.7","0.2","285.71","2.1","0.0","0.0","2.5","0.9","360.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.92","7.57","422.43","0.4","1.3","3250.0","251.5","36.9","146.72","1.66","3.51","5.17","0.0","0.1","44.53"
"121","1970","3","Gujarat","Ahmedabad","49.6","61.1","1231.85","131.8","104.6","793.63","85.2","26.8","314.55","1.2","1.0","833.33","86.4","27.8","321.76","109.4","92.1","841.86","0.1","0.1","1000.0","0.7","0.0","0.0","0.0","0.0","0.0","2.4","3.1","1291.67","3.1","1.0","322.58","8.9","0.97","108.99","8.4","8.2","976.19","4.1","1.7","414.63","0.3","0.1","333.33","1.3","0.0","0.0","2.7","3.0","1111.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.7","-1.0","-1.0","0.3","1.2","4000.0","191.8","29.3","152.76","1.46","3.5","4.96","0.0","0.2","54.18"
"121","1971","3","Gujarat","Ahmedabad","41.0","40.5","987.8","86.4","101.3","1172.45","73.3","16.4","223.74","1.2","1.0","833.33","74.5","17.4","233.56","84.6","70.5","833.33","0.1","0.2","2000.0","0.4","0.2","500.0","0.0","0.0","0.0","3.1","1.9","612.9","1.5","0.9","600.0","9.24","0.77","83.33","11.5","9.2","800.0","4.1","1.1","268.29","0.3","0.2","666.67","2.5","0.0","0.0","3.1","3.0","967.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.96","15.44","618.59","0.4","1.5","3750.0","285.2","31.4","110.1","1.52","3.69","5.2","0.1","0.1","22.66"
"121","1972","3","Gujarat","Ahmedabad","31.7","15.5","488.96","51.5","44.9","871.84","78.1","7.7","98.59","0.0","0.0","0.0","78.1","7.7","98.59","101.1","46.7","461.92","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.9","0.6","666.67","2.7","0.7","259.26","6.67","0.71","106.45","11.5","3.7","321.74","3.3","0.5","151.52","0.0","0.0","0.0","0.0","0.0","0.0","3.1","3.4","1096.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.46","7.61","391.06","0.5","1.7","3400.0","288.7","26.8","92.83","1.46","3.13","4.59","0.0","0.1","36.82"
"121","1973","3","Gujarat","Ahmedabad","33.1","33.6","1015.11","137.0","125.7","917.52","70.8","23.1","326.27","0.0","0.0","0.0","70.8","23.1","326.27","103.0","59.4","576.7","0.1","0.0","0.0","1.1","0.1","90.91","0.0","0.0","0.0","5.5","4.8","872.73","3.4","1.5","441.18","8.83","0.07","7.93","4.9","4.2","857.14","4.7","1.1","234.04","0.3","0.1","333.33","0.0","0.0","0.0","2.5","2.4","960.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.35","10.8","505.85","0.7","2.5","3571.43","188.8","29.6","156.78","1.46","6.6","8.06","0.0","0.26","51.91"
"121","1974","3","Gujarat","Ahmedabad","16.4","6.0","365.85","50.0","60.9","1218.0","66.9","3.2","47.83","2.2","2.3","1045.45","69.1","5.5","79.59","77.6","28.4","365.98","0.2","0.1","500.0","1.4","0.1","71.43","0.0","0.0","0.0","0.2","0.1","500.0","2.2","0.4","181.82","8.3","0.54","65.06","8.9","5.1","573.03","4.5","0.6","133.33","0.3","0.1","333.33","0.0","0.0","0.0","4.7","3.2","680.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.96","9.06","453.91","1.0","2.7","2700.0","242.6","31.7","130.67","1.36","5.82","7.18","0.0","0.16","44.62"
"121","1975","3","Gujarat","Ahmedabad","40.7","57.1","1402.95","115.3","100.1","868.17","57.2","13.4","234.27","0.8","0.7","875.0","58.0","14.1","243.1","89.8","44.1","491.09","0.2","0.3","1500.0","1.4","0.1","71.43","0.0","0.0","0.0","5.3","3.2","603.77","3.3","1.0","303.03","10.9","3.11","285.32","8.1","7.9","975.31","3.8","1.4","368.42","0.6","0.3","500.0","0.0","0.0","0.0","4.9","3.3","673.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.2","-1.0","-1.0","1.1","5.0","4545.45","194.8","30.4","156.06","1.26","5.69","6.95","0.0","0.2","41.88"
