"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"121","1990","3","Gujarat","Ahmedabad","59.9","106.1","1771.0","71.5","94.0","1315.0","37.0","12.6","341.0","0.0","0.0","0.0","37.0","12.6","341.0","72.4","58.3","805.0","0.8","1.1","1375.0","0.0","0.0","0.0","1.4","1.7","1214.0","17.7","9.8","554.0","4.4","3.8","864.0","7.5","3.7","493.0","1.1","1.0","909.0","7.0","1.0","143.0","8.0","6.5","813.0","1.6","1.2","750.0","18.3","26.9","1470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","500.0","41.4","41.1","993.0","0.4","2.6","6500.0","111.7","32.91","295.0","2.5","6.0","8.5","1.3","0.1","89.21"
"121","1991","3","Gujarat","Ahmedabad","73.4","49.6","676.0","75.7","79.5","1050.0","29.6","2.2","74.0","0.0","0.0","0.0","29.6","2.2","74.0","60.7","27.9","460.0","1.2","1.2","1000.0","0.0","0.0","0.0","0.8","1.0","1250.0","12.1","3.9","322.0","5.4","3.2","593.0","8.3","2.8","337.0","0.6","0.3","500.0","4.7","1.0","213.0","7.7","8.0","1039.0","1.4","1.4","1000.0","20.3","23.0","1133.0","0.0","0.0","0.0","0.1","0.1","1000.0","0.0","0.0","0.0","38.8","37.3","961.0","0.6","4.2","7000.0","146.5","19.92","136.0","2.9","7.8","10.7","1.5","0.0","99.94"
"121","1992","3","Gujarat","Ahmedabad","69.9","82.8","1185.0","79.6","81.2","1020.0","37.4","4.2","112.0","0.0","0.0","0.0","37.4","4.2","112.0","62.6","92.5","1478.0","0.3","0.4","1333.0","0.0","0.0","0.0","0.6","0.6","1000.0","16.7","9.0","539.0","5.7","4.8","842.0","9.2","5.9","641.0","0.3","0.3","1000.0","7.3","4.1","562.0","8.8","12.4","1409.0","1.6","1.5","938.0","19.1","23.0","1204.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","1000.0","42.4","46.0","1085.0","0.7","5.0","7143.0","152.9","24.74","162.0","3.0","8.1","11.1","2.4","0.2","93.82"
"121","1993","3","Gujarat","Ahmedabad","74.0","104.3","1409.0","83.3","88.1","1058.0","40.1","11.1","277.0","0.0","0.0","0.0","40.1","11.1","277.0","57.0","30.1","528.0","0.5","0.5","1000.0","0.1","0.1","1000.0","0.9","0.9","1000.0","10.3","5.1","495.0","5.6","5.1","911.0","7.4","3.4","459.0","0.4","0.2","500.0","6.7","0.7","104.0","9.4","10.6","1128.0","1.2","1.0","833.0","22.0","29.5","1341.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.3","42.9","1039.0","0.7","5.3","7571.0","152.3","30.41","200.0","2.7","6.9","9.6","1.3","0.0","88.48"
"121","1994","3","Gujarat","Ahmedabad","84.0","192.0","2286.0","138.0","134.0","971.0","30.0","16.0","533.0","0.0","0.0","0.0","30.0","16.0","533.0","53.0","36.0","679.0","1.0","1.0","1000.0","0.04","-1.0","-1.0","0.0","0.0","0.0","18.0","10.0","556.0","5.57","-1.0","-1.0","7.43","-1.0","-1.0","0.0","0.0","0.0","6.0","1.0","167.0","8.0","9.0","1125.0","0.0","0.0","0.0","21.25","-1.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","38.0","1000.0","1.0","4.0","4000.0","119.3","-1.0","-1.0","5.11","6.75","11.86","2.35","0.0","90.03"
"121","1995","3","Gujarat","Ahmedabad","76.2","90.3","1185.0","109.8","87.6","798.0","32.0","18.9","591.0","0.0","0.0","0.0","32.0","18.9","591.0","55.4","50.6","913.0","1.2","1.2","1000.0","0.0","0.0","0.0","0.8","0.8","1000.0","18.6","7.2","387.0","4.8","3.44","717.0","6.7","3.86","576.0","0.6","0.3","500.0","6.6","3.1","470.0","7.4","7.7","1041.0","0.0","0.0","0.0","20.1","23.7","1179.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","36.54","35.6","974.0","0.7","5.3","7571.0","141.1","25.89","183.0","3.45","6.46","9.91","1.4","0.0","80.56"
"121","1996","3","Gujarat","Ahmedabad","58.0","52.6","907.0","91.9","111.7","1215.0","40.9","36.7","897.0","1.6","1.4","875.0","42.5","38.1","896.0","49.4","68.9","1395.0","0.5","0.7","1400.0","0.0","0.0","0.0","0.0","0.0","0.0","13.7","8.1","591.0","2.9","2.7","931.0","4.7","2.6","553.0","0.5","0.6","1200.0","6.8","2.1","309.0","9.1","10.3","1132.0","0.0","0.0","0.0","23.4","35.1","1500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.8","48.1","1209.0","0.6","3.9","6500.0","151.5","32.13","212.0","2.82","7.75","10.57","2.4","0.0","81.99"
"121","1997","3","Gujarat","Ahmedabad","79.4","122.9","1548.0","107.1","108.0","1008.0","42.5","33.5","788.0","2.0","1.7","850.0","44.5","35.2","791.0","49.1","60.1","1224.0","1.7","2.7","1588.0","0.0","0.0","0.0","0.8","0.7","875.0","17.1","8.5","497.0","4.6","3.3","717.0","6.5","4.0","615.0","0.7","1.0","1429.0","8.5","6.1","718.0","5.0","5.5","1100.0","0.0","0.0","0.0","23.5","34.5","1468.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43.2","52.4","1213.0","0.7","5.0","7143.0","163.9","33.35","203.0","3.5","8.8","12.3","1.9","0.1","115.7"
"121","1998","3","Gujarat","Ahmedabad","76.1","110.3","1449.0","86.7","105.7","1219.0","58.4","48.2","825.0","2.5","2.0","800.0","60.9","50.2","824.0","50.9","64.7","1271.0","1.7","3.0","1765.0","0.0","0.0","0.0","1.5","1.3","867.0","19.7","10.5","533.0","4.5","4.2","933.0","6.1","3.1","508.0","0.8","1.1","1375.0","8.4","5.4","643.0","4.7","5.0","1064.0","0.0","0.0","0.0","24.5","59.7","2437.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.8","78.9","1723.0","0.7","4.9","7000.0","179.2","53.36","298.0","3.6","10.7","14.3","1.7","0.0","124.1"
"121","1999","3","Gujarat","Ahmedabad","76.9","82.3","1070.0","89.9","104.3","1160.0","67.0","89.4","1334.0","0.0","0.0","0.0","67.0","89.4","1334.0","48.3","54.1","1120.0","1.4","1.9","1357.0","0.0","0.0","0.0","0.0","0.0","0.0","11.7","4.5","385.0","4.4","3.5","795.0","6.5","3.1","477.0","1.6","1.1","688.0","8.0","3.8","475.0","8.1","7.7","951.0","0.0","0.0","0.0","31.5","58.7","1863.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.76","57.2","1439.0","0.7","4.6","6571.0","178.6","36.65","205.0","3.7","11.9","15.6","2.5","0.0","124.5"
