"Dist Code","Year","State Code","State Name","Dist Name","JANUARY POTENTIAL (Millimeters)","FEBRUARY POTENTIAL (Millimeters)","MARCH POTENTIAL (Millimeters)","APRIL POTENTIAL (Millimeters)","MAY POTENTIAL (Millimeters)","JUNE POTENTIAL (Millimeters)","JULY POTENTIAL (Millimeters)","AUGUST POTENTIAL (Millimeters)","SEPTEMBER POTENTIAL (Millimeters)","OCTOBER POTENTIAL (Millimeters)","NOVEMBER POTENTIAL (Millimeters)","DECEMBER POTENTIAL (Millimeters)"
"121","1958","3","Gujarat","Ahmedabad","101.57","116.35","176.77","219.15","233.15","197.83","141.59","126.32","140.8","136.94","111.39","86.42"
"121","1959","3","Gujarat","Ahmedabad","104.05","116.16","178.98","216.37","257.03","203.25","142.94","129.29","137.65","140.89","107.87","98.86"
"121","1960","3","Gujarat","Ahmedabad","109.75","127.83","178.93","212.12","241.34","187.3","145.02","129.7","140.54","152.17","120.71","96.28"
"121","1961","3","Gujarat","Ahmedabad","116.51","119.92","182.7","200.45","230.22","200.93","136.49","128.31","136.5","139.87","105.96","103.3"
"121","1962","3","Gujarat","Ahmedabad","98.77","116.91","161.4","206.85","235.49","201.19","141.69","128.39","136.86","144.53","102.94","86.73"
"121","1963","3","Gujarat","Ahmedabad","118.71","128.65","189.76","214.65","255.07","209.35","145.05","130.56","141.6","147.85","108.1","108.61"
"121","1964","3","Gujarat","Ahmedabad","118.66","130.33","185.35","225.76","251.8","195.57","141.23","131.28","135.53","141.97","121.8","104.17"
"121","1965","3","Gujarat","Ahmedabad","108.67","130.6","185.98","215.39","242.89","207.78","143.85","129.04","138.38","155.24","124.62","115.42"
"121","1966","3","Gujarat","Ahmedabad","120.07","129.27","187.64","219.73","262.13","202.87","143.2","131.85","140.78","147.01","125.24","108.93"
"121","1967","3","Gujarat","Ahmedabad","106.7","109.99","155.39","192.81","223.77","178.36","139.99","126.97","136.01","137.11","91.88","87.66"
"121","1968","3","Gujarat","Ahmedabad","92.68","108.71","173.83","198.75","217.19","203.75","140.57","132.2","138.95","138.15","100.38","86.94"
"121","1969","3","Gujarat","Ahmedabad","99.22","108.25","164.44","206.65","232.32","187.54","141.97","125.47","137.43","134.6","103.09","84.6"
"121","1970","3","Gujarat","Ahmedabad","93.24","114.71","163.82","195.26","233.69","177.25","139.76","122.83","134.36","129.44","90.82","78.0"
"121","1971","3","Gujarat","Ahmedabad","91.77","110.27","160.01","199.54","224.87","187.05","134.85","125.02","133.0","137.68","89.41","100.62"
"121","1972","3","Gujarat","Ahmedabad","93.17","109.78","160.43","196.33","228.98","193.33","145.31","133.33","142.37","142.63","105.53","101.59"
"121","1973","3","Gujarat","Ahmedabad","99.13","121.02","166.78","207.99","247.18","202.69","138.02","129.06","132.42","135.57","96.7","102.87"
"121","1974","3","Gujarat","Ahmedabad","97.13","116.06","167.64","208.0","226.15","205.91","141.98","135.39","140.37","138.6","99.78","93.5"
"121","1975","3","Gujarat","Ahmedabad","102.63","116.15","166.73","210.32","244.58","185.11","136.47","125.24","135.33","152.22","103.52","84.65"
"121","1976","3","Gujarat","Ahmedabad","94.18","114.23","176.39","208.66","250.85","192.17","142.15","129.3","134.19","139.81","105.99","88.74"
"121","1977","3","Gujarat","Ahmedabad","103.85","117.02","171.43","220.02","237.69","177.46","138.37","129.81","139.47","136.89","105.28","81.27"
"121","1978","3","Gujarat","Ahmedabad","98.34","110.47","166.78","204.59","236.85","190.41","137.73","129.03","135.74","141.23","120.73","95.17"
"121","1979","3","Gujarat","Ahmedabad","111.97","121.29","186.28","211.89","224.75","190.22","143.14","130.19","141.43","143.52","113.63","89.15"
"121","1980","3","Gujarat","Ahmedabad","107.64","121.6","182.32","205.08","248.99","180.95","140.0","126.69","139.98","147.04","109.88","91.81"
"121","1981","3","Gujarat","Ahmedabad","101.4","115.13","176.2","202.51","242.67","207.78","146.06","129.88","132.64","138.46","107.0","93.27"
"121","1982","3","Gujarat","Ahmedabad","106.78","116.95","170.39","208.05","209.12","201.32","144.96","130.59","139.7","143.2","113.45","96.44"
"121","1983","3","Gujarat","Ahmedabad","107.99","121.03","177.3","213.77","248.99","198.23","141.4","129.09","134.41","139.53","101.93","93.28"
"121","1984","3","Gujarat","Ahmedabad","106.83","129.63","176.88","210.87","236.41","201.4","140.37","129.05","138.88","137.48","104.05","96.29"
"121","1985","3","Gujarat","Ahmedabad","113.08","116.45","176.29","213.82","244.36","211.93","147.75","129.86","144.84","135.01","94.04","95.42"
"121","1986","3","Gujarat","Ahmedabad","110.24","123.59","182.15","221.04","253.3","196.57","150.01","131.13","143.78","151.91","117.66","105.41"
