"Dist Code","Year","State Code","State Name","Dist Name","JANUARY ACTUAL (Millimeters)","FEBRUARY ACTUAL (Millimeters)","MARCH ACTUAL (Millimeters)","APRIL ACTUAL (Millimeters)","MAY ACTUAL (Millimeters)","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"121","1958","3","Gujarat","Ahmedabad","33.14","24.33","14.97","9.79","6.29","62.85","141.59","125.41","140.8","108.92","61.48","36.67"
"121","1959","3","Gujarat","Ahmedabad","33.0","23.67","14.62","11.75","6.22","61.24","142.94","128.21","137.65","107.34","58.83","40.8"
"121","1960","3","Gujarat","Ahmedabad","33.28","22.18","12.8","8.32","7.69","105.42","143.43","92.57","89.45","9.55","3.72","3.3"
"121","1961","3","Gujarat","Ahmedabad","2.28","6.81","1.56","1.33","3.37","88.93","136.49","125.18","136.5","87.42","45.53","31.77"
"121","1962","3","Gujarat","Ahmedabad","21.15","14.88","45.82","8.75","7.12","34.79","141.68","114.12","136.47","35.27","22.48","13.91"
"121","1963","3","Gujarat","Ahmedabad","13.12","5.63","31.28","5.55","4.25","36.23","145.05","130.56","141.56","94.86","58.88","35.72"
"121","1964","3","Gujarat","Ahmedabad","25.51","15.91","9.65","6.47","13.44","51.83","141.23","131.28","133.17","80.56","46.53","26.61"
"121","1965","3","Gujarat","Ahmedabad","26.43","11.74","13.79","6.17","5.01","5.48","143.85","125.31","94.97","69.08","33.93","18.8"
"121","1966","3","Gujarat","Ahmedabad","12.16","7.43","5.3","4.14","5.65","73.78","143.2","71.67","140.74","58.73","27.2","14.89"
"121","1967","3","Gujarat","Ahmedabad","9.24","6.34","29.08","5.34","2.83","96.3","139.99","124.13","112.28","72.39","33.81","32.2"
"121","1968","3","Gujarat","Ahmedabad","19.75","16.19","17.22","6.19","4.5","14.15","140.47","132.21","76.68","36.87","17.56","11.05"
"121","1969","3","Gujarat","Ahmedabad","7.65","5.82","4.02","3.14","2.52","62.28","141.18","85.07","130.81","8.7","7.04","8.38"
"121","1970","3","Gujarat","Ahmedabad","3.22","3.57","10.38","2.4","7.04","153.18","138.26","122.83","134.36","87.14","46.76","32.06"
"121","1971","3","Gujarat","Ahmedabad","29.36","23.54","15.05","9.2","12.28","134.83","134.84","122.01","123.39","49.78","21.03","15.66"
"121","1972","3","Gujarat","Ahmedabad","10.09","9.1","4.83","3.66","3.19","33.33","139.6","120.86","20.11","5.92","4.0","2.96"
"121","1973","3","Gujarat","Ahmedabad","5.32","2.73","1.53","1.29","7.13","88.24","138.02","128.99","132.42","84.28","44.11","35.03"
"121","1974","3","Gujarat","Ahmedabad","23.31","17.09","10.63","6.98","38.56","26.91","80.64","47.98","56.98","22.49","1.43","5.7"
"121","1975","3","Gujarat","Ahmedabad","1.34","1.03","0.84","0.75","0.74","114.61","112.37","125.23","135.34","108.52","46.6","28.73"
"121","1976","3","Gujarat","Ahmedabad","26.66","18.46","17.34","7.32","5.18","172.78","142.15","129.3","127.12","81.23","62.53","29.39"
"121","1977","3","Gujarat","Ahmedabad","31.1","17.23","10.75","9.06","22.57","129.25","138.37","125.57","139.3","81.24","47.28","26.73"
