"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"121","1958","3","Gujarat","Ahmedabad","30.28","31.33","36.74","40.16","41.49","38.98","32.48","32.78","31.57","34.22","32.8","29.91"
"121","1959","3","Gujarat","Ahmedabad","27.91","30.87","37.25","40.14","41.78","37.98","31.99","31.01","31.51","33.88","32.39","30.15"
"121","1960","3","Gujarat","Ahmedabad","28.12","34.14","34.14","39.09","41.13","37.53","33.3","31.23","33.51","34.91","33.28","30.53"
"121","1961","3","Gujarat","Ahmedabad","28.89","29.6","36.85","39.14","40.88","37.3","32.02","32.17","31.64","33.75","32.26","29.11"
"121","1962","3","Gujarat","Ahmedabad","28.24","32.47","35.4","39.21","41.67","38.24","32.94","32.03","32.46","34.77","33.23","29.28"
"121","1963","3","Gujarat","Ahmedabad","29.91","33.74","36.25","38.98","40.92","38.24","33.73","31.86","32.61","35.07","33.09","30.73"
"121","1964","3","Gujarat","Ahmedabad","27.14","31.38","37.19","40.12","41.1","37.8","33.03","31.96","32.85","34.49","32.38","29.75"
"121","1965","3","Gujarat","Ahmedabad","30.37","31.83","35.45","38.42","40.62","38.43","32.88","32.59","33.28","36.21","34.34","30.24"
"121","1966","3","Gujarat","Ahmedabad","30.06","33.71","35.67","38.85","40.92","37.74","34.05","32.35","33.48","36.86","32.78","29.79"
"121","1967","3","Gujarat","Ahmedabad","27.94","33.61","34.75","39.06","41.29","37.34","32.65","31.48","32.4","35.7","33.67","28.8"
"121","1968","3","Gujarat","Ahmedabad","27.12","29.48","36.09","39.36","40.23","38.79","34.03","31.59","34.4","36.52","34.29","30.09"
"121","1969","3","Gujarat","Ahmedabad","29.31","30.97","37.17","40.43","41.3","38.7","34.1","32.21","32.7","36.38","34.96","31.81"
"121","1970","3","Gujarat","Ahmedabad","29.03","30.77","35.07","39.63","41.6","37.25","33.28","31.82","32.12","35.58","32.91","30.2"
"121","1971","3","Gujarat","Ahmedabad","27.56","31.89","36.62","40.53","40.4","35.46","33.28","31.29","33.08","33.67","32.4","30.04"
"121","1972","3","Gujarat","Ahmedabad","29.67","28.22","36.23","38.85","41.34","38.9","33.66","32.36","34.19","36.42","33.71","29.89"
"121","1973","3","Gujarat","Ahmedabad","27.6","32.13","36.01","40.68","41.38","37.8","32.62","31.7","31.15","34.49","32.94","29.08"
"121","1974","3","Gujarat","Ahmedabad","28.89","30.14","37.29","40.02","40.57","38.0","33.67","33.14","34.84","34.8","32.8","28.99"
"121","1975","3","Gujarat","Ahmedabad","27.72","30.94","34.69","39.73","40.88","37.33","32.87","31.61","31.93","33.44","31.64","30.47"
"121","1976","3","Gujarat","Ahmedabad","28.92","31.04","36.23","38.54","40.4","37.24","33.27","31.73","32.27","36.08","34.08","29.81"
"121","1977","3","Gujarat","Ahmedabad","28.16","31.61","38.0","39.16","40.48","37.69","32.54","31.77","32.35","36.69","33.48","30.59"
"121","1978","3","Gujarat","Ahmedabad","28.19","30.35","34.02","39.26","41.32","37.45","32.33","31.31","32.42","35.29","33.04","29.62"
"121","1979","3","Gujarat","Ahmedabad","28.47","29.55","34.65","39.1","40.5","38.96","33.42","31.5","34.14","34.59","32.17","29.6"
"121","1980","3","Gujarat","Ahmedabad","28.07","31.76","35.1","38.95","41.71","37.36","32.4","33.44","33.44","35.3","32.95","29.17"
"121","1981","3","Gujarat","Ahmedabad","27.8","31.39","35.16","39.34","40.87","38.84","32.38","31.37","33.78","34.99","30.75","29.19"
"121","1982","3","Gujarat","Ahmedabad","27.59","29.34","33.99","37.84","39.57","38.05","33.71","31.85","33.63","35.88","31.22","29.83"
"121","1983","3","Gujarat","Ahmedabad","28.0","29.05","33.61","36.94","40.57","37.87","33.7","31.62","32.94","33.33","31.54","28.34"
"121","1984","3","Gujarat","Ahmedabad","26.84","28.98","37.06","40.02","41.33","37.65","32.27","30.55","31.68","33.93","32.56","30.26"
"121","1985","3","Gujarat","Ahmedabad","27.92","30.99","37.44","38.81","40.95","37.69","32.67","31.48","33.52","34.06","33.5","30.28"
"121","1986","3","Gujarat","Ahmedabad","28.53","30.31","35.69","39.84","41.18","38.21","33.23","31.76","33.69","35.57","33.85","29.36"
"121","1987","3","Gujarat","Ahmedabad","28.96","31.98","36.22","39.85","41.0","39.28","35.23","34.05","34.67","36.92","34.49","30.41"
"121","1988","3","Gujarat","Ahmedabad","30.21","32.76","35.41","40.26","41.65","38.87","33.25","32.67","34.25","35.52","33.02","30.65"
"121","1989","3","Gujarat","Ahmedabad","28.16","31.5","34.81","39.23","41.3","37.47","33.39","31.96","33.57","35.72","34.05","29.79"
