"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"121","1958","3","Gujarat","Ahmedabad","12.83","14.24","18.78","23.6","26.71","27.48","25.78","25.37","23.9","20.92","16.35","13.77"
"121","1959","3","Gujarat","Ahmedabad","11.65","13.74","18.68","23.31","26.96","27.23","24.56","24.08","23.4","21.31","15.73","12.72"
"121","1960","3","Gujarat","Ahmedabad","10.74","14.05","17.67","21.82","25.69","26.61","25.68","24.07","24.16","20.74","15.39","13.49"
"121","1961","3","Gujarat","Ahmedabad","11.64","12.61","19.08","21.94","25.94","26.06","25.01","24.78","23.38","20.34","16.12","11.62"
"121","1962","3","Gujarat","Ahmedabad","9.09","13.89","17.77","22.48","26.12","26.7","25.34","24.33","23.61","18.75","15.78","13.59"
"121","1963","3","Gujarat","Ahmedabad","11.09","14.55","18.18","22.22","25.65","26.8","25.45","24.36","22.97","21.0","17.29","13.13"
"121","1964","3","Gujarat","Ahmedabad","9.05","12.83","18.62","23.12","25.91","26.15","25.02","24.2","23.43","20.14","14.68","11.52"
"121","1965","3","Gujarat","Ahmedabad","12.82","14.04","17.68","21.76","25.38","26.76","25.37","24.29","23.57","20.81","16.0","12.67"
"121","1966","3","Gujarat","Ahmedabad","12.13","15.53","17.18","21.88","25.64","26.92","25.84","24.65","23.44","21.32","17.58","12.04"
"121","1967","3","Gujarat","Ahmedabad","9.39","14.03","18.66","21.84","25.64","26.01","25.43","24.45","23.56","20.45","16.18","14.63"
"121","1968","3","Gujarat","Ahmedabad","10.68","12.49","17.74","21.56","24.71","27.24","25.96","24.19","23.75","20.46","15.9","12.63"
"121","1969","3","Gujarat","Ahmedabad","12.28","14.19","20.03","22.93","26.46","27.25","25.92","24.11","24.28","20.73","18.53","12.76"
"121","1970","3","Gujarat","Ahmedabad","11.65","14.38","18.31","23.32","26.95","26.53","25.29","24.59","23.62","21.22","14.08","10.54"
"121","1971","3","Gujarat","Ahmedabad","10.91","12.62","17.25","23.64","26.05","26.81","25.42","24.59","23.86","20.63","15.24","11.59"
"121","1972","3","Gujarat","Ahmedabad","10.53","11.84","18.26","21.86","25.81","27.24","25.83","24.97","23.36","20.98","15.56","12.84"
"121","1973","3","Gujarat","Ahmedabad","10.05","14.64","18.34","23.87","27.02","27.39","24.81","24.21","23.24","20.68","14.48","12.42"
"121","1974","3","Gujarat","Ahmedabad","10.04","12.35","18.93","23.32","25.7","27.0","26.46","25.2","24.62","22.55","14.43","12.32"
"121","1975","3","Gujarat","Ahmedabad","10.02","13.45","17.12","22.59","26.12","26.45","25.36","24.51","23.66","21.54","14.35","11.31"
"121","1976","3","Gujarat","Ahmedabad","11.35","13.85","18.08","22.14","25.66","26.49","25.46","23.93","22.96","20.94","18.85","13.64"
"121","1977","3","Gujarat","Ahmedabad","11.1","14.75","19.91","23.85","26.57","26.54","25.13","24.67","23.64","21.67","19.33","13.88"
"121","1978","3","Gujarat","Ahmedabad","11.21","14.66","18.08","23.33","26.77","26.7","24.93","24.61","24.0","21.14","18.19","13.56"
"121","1979","3","Gujarat","Ahmedabad","12.92","13.51","17.37","22.26","25.3","27.97","26.39","24.16","24.2","22.11","19.56","14.71"
"121","1980","3","Gujarat","Ahmedabad","12.47","15.16","19.35","22.95","26.56","25.82","25.87","24.37","23.91","21.86","17.4","13.05"
"121","1981","3","Gujarat","Ahmedabad","11.95","14.1","18.7","23.02","26.23","28.02","25.7","24.3","24.38","21.46","15.01","13.02"
"121","1982","3","Gujarat","Ahmedabad","13.1","14.85","17.54","22.54","25.63","27.46","26.16","24.84","23.91","22.24","18.04","14.05"
"121","1983","3","Gujarat","Ahmedabad","11.33","13.65","18.17","21.27","26.32","27.52","25.77","24.99","24.55","20.91","13.99","12.51"
"121","1984","3","Gujarat","Ahmedabad","10.89","12.55","19.0","23.75","26.57","26.93","25.07","23.45","22.82","20.45","15.07","12.44"
"121","1985","3","Gujarat","Ahmedabad","11.38","13.85","19.36","22.51","26.52","27.1","25.56","24.03","23.96","20.39","15.75","13.79"
"121","1986","3","Gujarat","Ahmedabad","12.16","14.73","18.72","23.21","26.63","26.86","25.6","23.59","23.83","21.03","16.98","11.63"
"121","1987","3","Gujarat","Ahmedabad","12.45","15.1","19.34","23.0","25.8","27.61","26.31","25.56","24.82","22.58","17.73","13.85"
"121","1988","3","Gujarat","Ahmedabad","13.39","16.13","18.95","24.05","27.23","27.79","25.27","24.87","24.66","20.8","15.96","13.19"
"121","1989","3","Gujarat","Ahmedabad","10.4","13.04","18.34","21.96","25.95","26.41","25.06","24.14","24.01","20.64","17.18","13.17"
"121","1990","3","Gujarat","Ahmedabad","11.91","14.94","18.18","22.74","26.67","27.15","25.48","24.03","23.68","21.21","17.07","13.52"
"121","1991","3","Gujarat","Ahmedabad","10.32","13.84","18.72","23.11","26.62","27.79","25.35","24.26","23.46","19.8","16.75","12.99"
"121","1992","3","Gujarat","Ahmedabad","11.24","13.2","18.29","22.03","26.58","28.44","26.17","24.76","23.03","21.59","16.61","13.63"
"121","1993","3","Gujarat","Ahmedabad","12.2","14.55","18.67","22.88","27.15","28.3","26.05","25.53","24.93","22.7","17.84","13.64"
"121","1994","3","Gujarat","Ahmedabad","13.07","14.22","19.56","22.81","26.98","27.26","24.96","24.87","23.83","21.05","17.06","12.02"
"121","1995","3","Gujarat","Ahmedabad","10.85","15.06","18.37","22.28","26.99","28.6","26.32","25.59","24.55","22.59","15.98","13.57"
"121","1996","3","Gujarat","Ahmedabad","12.56","15.33","20.56","23.02","26.72","27.48","26.06","24.46","23.93","21.3","15.04","12.66"
"121","1997","3","Gujarat","Ahmedabad","10.85","13.26","18.89","22.0","25.59","25.9","26.11","24.75","24.11","20.09","18.55","13.82"
"121","1998","3","Gujarat","Ahmedabad","12.06","14.25","18.38","24.22","27.7","28.06","26.18","25.45","24.88","22.69","17.19","12.9"
"121","1999","3","Gujarat","Ahmedabad","11.09","15.69","18.83","23.43","26.5","26.87","25.79","24.64","24.67","21.35","16.58","12.37"
"121","2000","3","Gujarat","Ahmedabad","12.06","13.64","17.8","23.84","26.29","27.45","25.42","25.08","24.18","22.46","16.68","12.48"
"121","2001","3","Gujarat","Ahmedabad","11.75","15.04","18.89","23.46","26.3","26.18","24.44","24.48","24.7","22.0","17.32","14.04"
"121","2002","3","Gujarat","Ahmedabad","11.52","14.7","19.8","24.06","27.46","27.55","26.58","24.74","24.18","23.22","18.03","14.49"
"121","2003","3","Gujarat","Ahmedabad","13.21","15.49","18.97","23.79","26.7","27.1","25.1","24.54","23.47","21.3","17.8","12.97"
"121","2004","3","Gujarat","Ahmedabad","12.06","14.92","20.84","23.64","26.57","26.71","25.97","23.96","24.79","20.29","18.07","14.14"
"121","2005","3","Gujarat","Ahmedabad","10.63","14.02","18.96","23.0","26.76","27.64","26.05","24.72","23.67","21.01","16.44","11.71"
"121","2006","3","Gujarat","Ahmedabad","12.12","17.43","18.46","22.73","26.76","27.06","25.3","23.68","23.92","21.61","17.15","13.78"
"121","2007","3","Gujarat","Ahmedabad","12.38","15.96","18.9","24.13","26.77","27.42","25.83","24.73","24.2","20.82","17.68","13.0"
