"Dist Code","Year","State Code","State Name","Dist Name","JANUARY WATER DEFICIT (Millimeters)","FEBRUARY WATER DEFICIT (Millimeters)","MARCH WATER DEFICIT (Millimeters)","APRIL WATER DEFICIT (Millimeters)","MAY WATER DEFICIT (Millimeters)","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"121","1958","3","Gujarat","Ahmedabad","68.43","92.02","161.81","209.36","226.86","134.98","0.0","0.91","0.0","28.01","49.91"
"121","1959","3","Gujarat","Ahmedabad","71.05","92.5","164.36","204.62","250.81","142.02","0.0","1.08","0.0","33.54","49.03"
"121","1960","3","Gujarat","Ahmedabad","76.46","105.65","166.13","203.8","233.65","81.88","1.59","37.13","51.09","142.62","116.99"
"121","1961","3","Gujarat","Ahmedabad","114.22","113.12","181.13","199.12","226.85","112.01","0.0","3.13","0.0","52.46","60.44"
"121","1962","3","Gujarat","Ahmedabad","77.62","102.03","115.58","198.1","228.37","166.4","0.01","14.27","0.4","109.25","80.46"
"121","1963","3","Gujarat","Ahmedabad","105.59","123.02","158.48","209.1","250.82","173.12","0.0","0.0","0.04","52.99","49.22"
"121","1964","3","Gujarat","Ahmedabad","0.0","0.0","0.0","0.0","9.21","50.8","329.09","185.02","138.32","0.0","0.07"
"121","1965","3","Gujarat","Ahmedabad","9.25","0.0","6.59","0.89","1.07","2.49","403.23","132.03","33.2","0.03","1.15"
"121","1966","3","Gujarat","Ahmedabad","0.88","0.0","0.0","0.16","2.66","75.02","283.3","29.57","197.02","0.0","0.0"
"121","1967","3","Gujarat","Ahmedabad","0.0","0.0","25.72","1.87","0.0","98.94","389.8","156.86","83.72","0.98","0.0"
"121","1968","3","Gujarat","Ahmedabad","0.99","2.08","8.4","0.0","0.0","11.26","171.07","243.42","38.38","3.87","0.08"
"121","1969","3","Gujarat","Ahmedabad","91.57","102.44","160.42","203.52","229.8","125.26","0.78","40.4","6.62","125.89","96.04"
"121","1970","3","Gujarat","Ahmedabad","90.02","111.14","153.44","192.87","226.65","24.08","1.5","0.0","0.0","42.3","44.06"
"121","1971","3","Gujarat","Ahmedabad","62.41","86.74","144.96","190.32","212.59","52.22","0.0","3.02","9.61","87.9","68.38"
"121","1972","3","Gujarat","Ahmedabad","83.09","100.69","155.61","192.67","225.78","160.0","5.7","12.47","122.25","136.71","101.54"
"121","1973","3","Gujarat","Ahmedabad","93.81","118.29","165.25","206.71","240.05","114.45","0.0","0.07","0.0","51.3","52.59"
"121","1974","3","Gujarat","Ahmedabad","73.82","98.97","157.01","201.01","187.6","179.0","61.35","87.41","83.4","116.11","98.36"
"121","1975","3","Gujarat","Ahmedabad","101.29","115.12","165.89","209.57","243.84","70.5","24.1","0.0","0.0","43.7","56.91"
"121","1976","3","Gujarat","Ahmedabad","67.52","95.77","159.05","201.34","245.68","19.39","0.0","0.0","7.06","58.58","43.46"
"121","1977","3","Gujarat","Ahmedabad","72.75","99.79","160.68","210.96","215.11","48.21","0.0","4.25","0.17","55.65","57.99"
"121","1978","3","Gujarat","Ahmedabad","75.06","91.78","156.2","190.21","231.89","68.24","1.85","0.0","61.45","95.58","86.96"
