"Dist Code","Year","State Code","State Name","Dist Name","CANALS AREA (1000 ha)","TANKS AREA (1000 ha)","TUBE WELLS AREA (1000 ha)","OTHER WELLS AREA (1000 ha)","TOTAL WELLS AREA (1000 ha)","OTHER SOURCES AREA (1000 ha)","NET AREA (1000 ha)","GROSS AREA (1000 ha)"
"121","1966","3","Gujarat","Ahmedabad","23.2","5.4","0.0","45.39","45.39","1.1","75.1","80.6"
"121","1967","3","Gujarat","Ahmedabad","25.9","5.2","5.46","51.26","56.72","2.5","90.4","90.6"
"121","1968","3","Gujarat","Ahmedabad","22.4","1.6","14.47","40.76","55.23","1.4","80.7","82.1"
"121","1969","3","Gujarat","Ahmedabad","18.1","4.3","15.51","45.77","61.28","2.3","86.1","89.0"
"121","1970","3","Gujarat","Ahmedabad","24.5","4.7","11.38","49.71","61.09","0.4","90.8","96.6"
"121","1971","3","Gujarat","Ahmedabad","22.0","10.0","16.41","48.97","65.38","1.8","99.3","104.2"
"121","1972","3","Gujarat","Ahmedabad","13.0","8.8","19.16","45.52","64.68","0.5","87.1","107.7"
"121","1973","3","Gujarat","Ahmedabad","26.4","3.2","13.04","41.39","54.43","1.2","85.3","105.9"
"121","1974","3","Gujarat","Ahmedabad","17.3","1.7","18.92","33.23","52.15","2.9","74.2","94.5"
"121","1975","3","Gujarat","Ahmedabad","24.5","3.1","21.25","28.79","50.04","1.2","79.0","98.7"
"121","1976","3","Gujarat","Ahmedabad","24.6","1.7","22.29","29.83","52.12","0.9","79.5","99.8"
"121","1977","3","Gujarat","Ahmedabad","30.5","1.9","23.78","34.27","58.05","0.9","91.5","108.9"
"121","1978","3","Gujarat","Ahmedabad","33.1","2.1","24.58","36.27","60.85","0.8","96.7","115.2"
"121","1979","3","Gujarat","Ahmedabad","30.6","2.1","30.79","32.76","63.55","0.0","96.3","113.7"
"121","1980","3","Gujarat","Ahmedabad","34.3","2.4","33.03","35.81","68.84","0.0","105.5","123.0"
"121","1981","3","Gujarat","Ahmedabad","35.1","2.5","36.88","44.01","80.89","0.0","118.5","135.2"
"121","1982","3","Gujarat","Ahmedabad","36.1","1.1","41.64","39.85","81.49","0.0","118.7","132.7"
"121","1983","3","Gujarat","Ahmedabad","49.0","0.1","39.99","47.11","87.1","0.0","136.2","152.8"
"121","1984","3","Gujarat","Ahmedabad","48.9","0.3","41.26","44.82","86.08","0.0","135.3","151.8"
"121","1985","3","Gujarat","Ahmedabad","44.9","0.0","43.64","42.81","86.45","0.0","131.4","145.4"
"121","1986","3","Gujarat","Ahmedabad","31.0","0.4","51.74","44.23","95.97","0.0","127.4","142.8"
"121","1987","3","Gujarat","Ahmedabad","17.2","0.8","51.55","38.18","89.73","0.0","107.7","122.7"
"121","1988","3","Gujarat","Ahmedabad","44.2","1.2","64.15","41.05","105.2","0.0","150.5","172.5"
"121","1989","3","Gujarat","Ahmedabad","42.8","1.6","68.98","37.69","106.67","0.0","151.3","173.9"
"121","1990","3","Gujarat","Ahmedabad","41.2","1.2","70.31","38.79","109.09","0.0","151.49","175.7"
"121","1991","3","Gujarat","Ahmedabad","39.8","1.4","86.49","39.8","126.29","0.0","167.49","195.51"
"121","1992","3","Gujarat","Ahmedabad","39.5","1.6","87.72","39.81","127.53","0.0","168.63","204.17"
"121","1993","3","Gujarat","Ahmedabad","37.7","3.8","90.95","47.84","138.79","0.0","180.29","211.76"
"121","1994","3","Gujarat","Ahmedabad","39.94","2.2","103.55","41.2","144.75","0.0","186.96","225.76"
"121","1995","3","Gujarat","Ahmedabad","36.32","2.2","92.01","43.9","135.91","0.0","174.39","208.41"
"121","1996","3","Gujarat","Ahmedabad","38.38","2.2","92.92","45.61","138.54","0.0","179.17","215.4"
"121","1997","3","Gujarat","Ahmedabad","36.68","2.55","98.42","44.39","142.81","0.0","182.07","226.14"
"121","1998","3","Gujarat","Ahmedabad","32.2","2.3","117.16","39.2","156.36","0.0","190.86","231.58"
"121","1999","3","Gujarat","Ahmedabad","33.5","2.4","126.66","34.9","161.56","0.0","197.46","235.51"
"121","2000","3","Gujarat","Ahmedabad","24.9","0.7","119.95","51.96","171.91","0.0","197.51","253.93"
"121","2001","3","Gujarat","Ahmedabad","24.7","0.7","113.15","46.66","159.81","0.0","185.2","238.66"
"121","2002","3","Gujarat","Ahmedabad","24.2","2.3","116.18","51.38","167.57","0.0","194.07","244.1"
"121","2003","3","Gujarat","Ahmedabad","40.1","5.5","118.33","63.6","181.93","2.1","229.63","276.79"
"121","2004","3","Gujarat","Ahmedabad","54.86","4.46","114.01","59.97","173.98","1.18","234.47","312.94"
"121","2005","3","Gujarat","Ahmedabad","63.0","4.89","117.07","82.03","199.1","1.44","268.41","346.4"
"121","2006","3","Gujarat","Ahmedabad","62.48","4.85","125.39","79.37","204.76","1.95","274.02","360.8"
"121","2007","3","Gujarat","Ahmedabad","62.77","4.91","132.79","78.41","211.21","2.35","281.25","377.77"
"121","2008","3","Gujarat","Ahmedabad","55.85","4.92","131.33","82.32","213.65","2.89","277.21","382.59"
"121","2009","3","Gujarat","Ahmedabad","77.45","7.6","162.64","76.43","239.07","7.16","331.32","449.28"
"121","2010","3","Gujarat","Ahmedabad","56.5","4.92","119.37","93.73","213.1","9.73","284.14","387.6"
"121","2011","3","Gujarat","Ahmedabad","82.45","24.4","150.62","70.22","220.84","13.36","341.04","461.44"
"121","2014","3","Gujarat","Ahmedabad","51.74","38.97","147.84","57.69","205.42","12.28","308.53","564.83"
"121","2015","3","Gujarat","Ahmedabad","91.48","22.22","126.02","61.53","187.55","9.45","310.69","506.56"
"121","2016","3","Gujarat","Ahmedabad","71.69","25.11","122.01","58.73","180.74","39.06","316.51","517.0"
"121","2017","3","Gujarat","Ahmedabad","77.71","21.15","116.47","58.5","174.97","43.92","317.92","523.68"
"122","1966","3","Gujarat","Amreli","3.1","0.2","0.0","29.66","29.66","0.0","33.0","33.1"
"122","1967","3","Gujarat","Amreli","3.0","0.3","0.0","30.1","30.1","0.0","33.4","33.4"
"122","1968","3","Gujarat","Amreli","3.2","1.1","0.0","30.1","30.1","0.1","34.5","38.1"
"122","1969","3","Gujarat","Amreli","2.8","0.2","0.0","34.9","34.9","0.1","38.0","41.8"
"122","1970","3","Gujarat","Amreli","2.5","0.6","0.0","44.4","44.4","0.0","47.5","50.6"
"122","1971","3","Gujarat","Amreli","3.1","0.6","0.0","49.1","49.1","0.0","52.8","56.6"
"122","1972","3","Gujarat","Amreli","0.3","0.2","0.0","47.6","47.6","0.0","48.1","50.4"
"122","1973","3","Gujarat","Amreli","2.8","0.2","0.0","46.6","46.6","0.0","49.6","51.6"
"122","1974","3","Gujarat","Amreli","0.5","0.3","0.0","32.1","32.1","0.0","32.9","38.7"
"122","1975","3","Gujarat","Amreli","1.9","0.3","0.0","29.2","29.2","0.0","31.4","34.5"
"122","1976","3","Gujarat","Amreli","2.3","0.1","0.0","32.8","32.8","0.0","35.5","36.6"
"122","1977","3","Gujarat","Amreli","5.0","0.1","0.0","35.4","35.4","0.0","40.5","40.5"
"122","1978","3","Gujarat","Amreli","5.1","0.3","0.0","31.4","31.4","0.0","36.8","37.5"
"122","1979","3","Gujarat","Amreli","6.5","0.3","0.0","56.5","56.5","0.0","63.3","64.4"
"122","1980","3","Gujarat","Amreli","5.4","0.7","0.0","58.1","58.1","0.0","64.2","73.6"
"122","1981","3","Gujarat","Amreli","5.2","0.8","0.0","68.5","68.5","0.0","74.5","76.1"
"122","1982","3","Gujarat","Amreli","6.6","0.7","0.0","82.6","82.6","0.0","89.9","90.6"
"122","1983","3","Gujarat","Amreli","7.4","0.9","0.0","90.3","90.3","0.0","98.6","99.1"
"122","1984","3","Gujarat","Amreli","2.5","0.2","0.0","57.2","57.2","0.0","59.9","60.4"
"122","1985","3","Gujarat","Amreli","0.1","0.0","0.0","37.3","37.3","0.0","37.4","37.7"
"122","1986","3","Gujarat","Amreli","0.2","0.0","0.0","35.6","35.6","0.0","35.8","36.2"
"122","1987","3","Gujarat","Amreli","0.0","0.0","0.0","26.6","26.6","0.0","26.6","27.1"
"122","1988","3","Gujarat","Amreli","3.0","0.0","0.0","56.6","56.6","0.7","60.3","61.5"
"122","1989","3","Gujarat","Amreli","2.1","0.0","0.0","52.3","52.3","0.0","54.4","56.6"
"122","1990","3","Gujarat","Amreli","2.1","0.0","0.0","61.7","61.7","0.0","63.8","66.9"
"122","1991","3","Gujarat","Amreli","3.3","0.0","0.0","51.7","51.7","0.0","55.0","58.7"
"122","1992","3","Gujarat","Amreli","5.0","0.0","0.0","61.5","61.5","0.0","66.5","69.6"
"122","1993","3","Gujarat","Amreli","2.3","0.0","0.0","58.0","58.0","0.0","60.3","63.3"
"122","1994","3","Gujarat","Amreli","4.44","0.0","0.0","106.69","106.69","0.0","111.1","120.1"
"122","1995","3","Gujarat","Amreli","6.81","0.0","0.0","80.61","80.61","0.0","87.4","94.2"
"122","1996","3","Gujarat","Amreli","10.19","0.0","0.0","98.4","98.4","0.0","108.6","115.0"
"122","1997","3","Gujarat","Amreli","2.16","0.0","0.0","89.28","89.28","0.0","91.4","97.7"
"122","1998","3","Gujarat","Amreli","3.8","0.0","0.0","78.5","78.5","0.0","82.3","92.0"
"122","1999","3","Gujarat","Amreli","0.0","0.0","0.0","72.7","72.7","0.0","72.7","86.1"
"122","2000","3","Gujarat","Amreli","0.0","0.0","0.0","70.5","70.5","0.0","70.5","76.0"
"122","2001","3","Gujarat","Amreli","2.2","0.0","0.0","89.7","89.7","0.0","91.9","101.0"
