"Dist Code","Year","State Code","State Name","Dist Name","RICE HARVEST PRICE (Rs per Quintal)","PADDY HARVEST PRICE (Rs per Quintal)","WHEAT HARVEST PRICE (Rs per Quintal)","SORGHUM HARVEST PRICE (Rs per Quintal)","PEARL MILLET HARVEST PRICE (Rs per Quintal)","MAIZE HARVEST PRICE (Rs per Quintal)","FINGER MILLET HARVEST PRICE (Rs per Quintal)","BARLEY HARVEST PRICE (Rs per Quintal)","CHICKPEA HARVEST PRICE (Rs per Quintal)","PIGEONPEA HARVEST PRICE (Rs per Quintal)","GROUNDNUT HARVEST PRICE (Rs per Quintal)","SEASMUM HARVEST PRICE (Rs per Quintal)","RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal)","CASTOR HARVEST PRICE (Rs per Quintal)","LINSEED HARVEST PRICE (Rs per Quintal)","SUGARCANE GUR HARVEST PRICE (Rs per Quintal)","COTTON KAPAS HARVEST PRICE (Rs per Quintal)"
"121","1990","3","Gujarat","Ahmedabad","-1.0","350.0","384.0","241.0","273.0","-1.0","-1.0","-1.0","683.0","-1.0","-1.0","-1.0","866.0","675.0","-1.0","-1.0","1005.0"
"121","1991","3","Gujarat","Ahmedabad","-1.0","450.0","480.0","285.0","265.0","-1.0","-1.0","-1.0","835.0","-1.0","-1.0","-1.0","895.0","565.0","-1.0","-1.0","860.0"
"121","1992","3","Gujarat","Ahmedabad","-1.0","490.0","447.0","285.0","286.0","-1.0","-1.0","-1.0","818.0","-1.0","-1.0","-1.0","1025.0","875.0","-1.0","-1.0","1305.0"
"121","1993","3","Gujarat","Ahmedabad","-1.0","519.0","515.0","308.0","435.0","-1.0","-1.0","-1.0","1348.0","-1.0","-1.0","-1.0","1120.0","1056.0","-1.0","-1.0","1511.0"
"121","1994","3","Gujarat","Ahmedabad","-1.0","525.0","504.0","494.0","474.0","-1.0","-1.0","-1.0","807.0","-1.0","-1.0","-1.0","950.0","960.0","-1.0","-1.0","2375.0"
"121","1995","3","Gujarat","Ahmedabad","-1.0","590.0","560.0","470.0","500.0","461.0","471.0","-1.0","840.0","1622.0","1326.0","-1.0","1120.0","930.0","-1.0","1056.0","1794.0"
"121","1996","3","Gujarat","Ahmedabad","-1.0","605.0","735.0","530.0","540.0","491.0","-1.0","-1.0","1270.0","1495.0","1250.0","1761.0","1125.0","1150.0","-1.0","952.0","-1.0"
"121","1997","3","Gujarat","Ahmedabad","-1.0","665.0","740.0","570.0","575.0","430.0","-1.0","-1.0","-1.0","1651.0","1345.0","2057.0","1650.0","1900.0","-1.0","1251.0","2025.0"
"121","1998","3","Gujarat","Ahmedabad","-1.0","608.0","-1.0","660.0","-1.0","-1.0","693.0","1506.0","-1.0","-1.0","-1.0","-1.0","1489.0","2094.0","-1.0","-1.0","1625.0"
"121","1999","3","Gujarat","Ahmedabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1487.0","1285.0","-1.0","-1.0","1681.0"
"121","2000","3","Gujarat","Ahmedabad","-1.0","785.0","793.0","634.0","519.0","-1.0","-1.0","-1.0","1455.0","-1.0","-1.0","-1.0","1178.0","1993.0","-1.0","-1.0","2057.0"
"121","2001","3","Gujarat","Ahmedabad","-1.0","700.0","864.0","550.0","545.0","-1.0","-1.0","-1.0","1543.0","-1.0","-1.0","-1.0","1205.0","1250.0","-1.0","-1.0","1590.0"
"121","2002","3","Gujarat","Ahmedabad","-1.0","660.0","738.0","631.0","562.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1640.0","1228.0","-1.0","-1.0","1368.0"
"121","2003","3","Gujarat","Ahmedabad","-1.0","668.0","809.0","435.0","573.0","-1.0","-1.0","-1.0","1383.0","-1.0","-1.0","-1.0","1600.0","1116.0","-1.0","-1.0","2239.0"
"121","2004","3","Gujarat","Ahmedabad","-1.0","1194.0","971.0","892.0","859.0","-1.0","-1.0","-1.0","1445.0","-1.0","-1.0","-1.0","1255.0","1261.0","-1.0","-1.0","-1.0"
"121","2005","3","Gujarat","Ahmedabad","-1.0","619.0","981.0","464.0","487.0","-1.0","-1.0","-1.0","1939.0","-1.0","-1.0","3062.0","1469.0","1472.0","-1.0","-1.0","-1.0"
"121","2006","3","Gujarat","Ahmedabad","-1.0","671.0","1065.0","515.0","537.0","-1.0","-1.0","-1.0","2067.0","-1.0","-1.0","-1.0","1564.0","1610.0","-1.0","-1.0","-1.0"
"121","2007","3","Gujarat","Ahmedabad","-1.0","866.0","1020.0","867.0","740.0","-1.0","-1.0","-1.0","2048.0","-1.0","-1.0","-1.0","2074.0","2540.0","-1.0","-1.0","-1.0"
"121","2008","3","Gujarat","Ahmedabad","-1.0","653.0","1107.0","-1.0","564.0","-1.0","-1.0","-1.0","1475.0","-1.0","2345.0","6337.0","1792.0","1869.0","-1.0","-1.0","-1.0"
"121","2009","3","Gujarat","Ahmedabad","-1.0","743.0","1215.0","-1.0","621.0","-1.0","-1.0","-1.0","1624.0","-1.0","2555.0","4869.0","1950.0","2055.0","-1.0","-1.0","2054.0"
"121","2010","3","Gujarat","Ahmedabad","-1.0","792.0","1424.0","-1.0","992.0","-1.0","-1.0","-1.0","2100.0","-1.0","-1.0","-1.0","2324.0","2487.0","-1.0","-1.0","3183.0"
"121","2011","3","Gujarat","Ahmedabad","-1.0","1176.0","1363.0","-1.0","934.0","-1.0","-1.0","-1.0","2421.0","-1.0","-1.0","-1.0","2602.0","3403.0","-1.0","-1.0","-1.0"
"121","2012","3","Gujarat","Ahmedabad","-1.0","1389.0","1464.0","-1.0","1077.0","-1.0","-1.0","-1.0","3522.0","-1.0","-1.0","-1.0","2917.0","3464.0","-1.0","-1.0","-1.0"
"121","2013","3","Gujarat","Ahmedabad","-1.0","1446.0","1515.0","-1.0","1101.0","-1.0","-1.0","-1.0","2643.0","-1.0","-1.0","-1.0","3012.0","3559.0","-1.0","-1.0","-1.0"
"121","2014","3","Gujarat","Ahmedabad","-1.0","1607.0","1560.0","-1.0","1171.0","-1.0","-1.0","-1.0","3453.0","-1.0","3650.0","-1.0","-1.0","3897.0","-1.0","-1.0","-1.0"
"121","2015","3","Gujarat","Ahmedabad","-1.0","1607.0","1560.0","-1.0","1171.0","-1.0","-1.0","-1.0","3453.0","-1.0","3650.0","-1.0","-1.0","3897.0","-1.0","-1.0","-1.0"
"121","2016","3","Gujarat","Ahmedabad","-1.0","1576.0","1783.0","-1.0","-1.0","-1.0","-1.0","-1.0","5572.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","2991.0"
"122","1990","3","Gujarat","Amreli","-1.0","-1.0","351.0","224.0","293.0","230.0","-1.0","-1.0","492.0","758.0","1127.0","1375.0","596.0","488.0","-1.0","498.0","1100.0"
"122","1991","3","Gujarat","Amreli","-1.0","-1.0","495.0","-1.0","402.0","-1.0","-1.0","-1.0","-1.0","-1.0","1400.0","1891.0","-1.0","-1.0","-1.0","478.0","1597.0"
"122","1992","3","Gujarat","Amreli","-1.0","-1.0","403.0","-1.0","231.0","-1.0","-1.0","-1.0","-1.0","-1.0","968.0","-1.0","964.0","-1.0","-1.0","1075.0","1074.0"
"122","1993","3","Gujarat","Amreli","-1.0","-1.0","524.0","-1.0","446.0","-1.0","-1.0","-1.0","-1.0","-1.0","1090.0","1606.0","-1.0","-1.0","-1.0","748.0","1566.0"
"122","1994","3","Gujarat","Amreli","-1.0","-1.0","487.0","-1.0","403.0","-1.0","-1.0","-1.0","-1.0","-1.0","1198.0","2287.0","-1.0","-1.0","-1.0","958.0","2320.0"
"122","1995","3","Gujarat","Amreli","-1.0","560.0","525.0","603.0","449.0","461.0","471.0","-1.0","946.0","1622.0","1224.0","-1.0","1163.0","975.0","-1.0","951.0","1794.0"
"122","1996","3","Gujarat","Amreli","-1.0","590.0","675.0","561.0","503.0","491.0","-1.0","-1.0","1117.0","1425.0","1231.0","1791.0","1030.0","1043.0","-1.0","966.0","-1.0"
"122","1997","3","Gujarat","Amreli","-1.0","575.0","621.0","589.0","469.0","430.0","-1.0","-1.0","-1.0","1651.0","1234.0","1849.0","1272.0","1270.0","-1.0","1113.0","1893.0"
"122","1998","3","Gujarat","Amreli","-1.0","-1.0","592.0","-1.0","488.0","-1.0","-1.0","-1.0","-1.0","-1.0","1326.0","2514.0","-1.0","-1.0","-1.0","1070.0","1465.0"
"122","1999","3","Gujarat","Amreli","-1.0","-1.0","752.0","-1.0","506.0","-1.0","-1.0","-1.0","-1.0","-1.0","1407.0","2754.0","-1.0","-1.0","-1.0","1250.0","-1.0"
"122","2000","3","Gujarat","Amreli","-1.0","-1.0","703.0","-1.0","504.0","-1.0","-1.0","-1.0","-1.0","-1.0","1322.0","2100.0","-1.0","-1.0","-1.0","1038.0","1618.0"
