"Dist Code","Year","State Code","State Name","Dist Name","RICE HARVEST PRICE (Rs per Quintal)","PADDY HARVEST PRICE (Rs per Quintal)","WHEAT HARVEST PRICE (Rs per Quintal)","SORGHUM HARVEST PRICE (Rs per Quintal)","PEARL MILLET HARVEST PRICE (Rs per Quintal)","MAIZE HARVEST PRICE (Rs per Quintal)","FINGER MILLET HARVEST PRICE (Rs per Quintal)","BARLEY HARVEST PRICE (Rs per Quintal)","CHICKPEA HARVEST PRICE (Rs per Quintal)","PIGEONPEA HARVEST PRICE (Rs per Quintal)","GROUNDNUT HARVEST PRICE (Rs per Quintal)","SEASMUM HARVEST PRICE (Rs per Quintal)","RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal)","CASTOR HARVEST PRICE (Rs per Quintal)","LINSEED HARVEST PRICE (Rs per Quintal)","SUGARCANE GUR HARVEST PRICE (Rs per Quintal)","COTTON KAPAS HARVEST PRICE (Rs per Quintal)"
"121","1966","3","Gujarat","Ahmedabad","237.7","-1.0","114.0","76.0","74.0","-1.0","-1.0","-1.0","181.0","114.0","134.0","176.0","-1.0","-1.0","-1.0","-1.0","154.0"
"121","1967","3","Gujarat","Ahmedabad","-1.0","110.0","107.0","74.0","88.0","-1.0","-1.0","68.0","110.0","108.0","101.0","176.0","115.0","98.0","-1.0","220.0","151.0"
"121","1968","3","Gujarat","Ahmedabad","-1.0","127.7","115.1","82.8","85.8","-1.0","-1.0","82.2","117.2","92.5","108.0","170.4","120.0","97.5","-1.0","-1.0","191.4"
"121","1969","3","Gujarat","Ahmedabad","-1.0","107.5","100.0","82.5","77.0","-1.0","-1.0","72.5","127.5","110.5","133.0","193.0","-1.0","107.0","-1.0","127.5","238.0"
"121","1970","3","Gujarat","Ahmedabad","-1.0","84.1","80.5","56.3","53.6","65.0","-1.0","55.0","90.7","108.7","155.0","228.8","-1.0","152.0","-1.0","140.0","190.0"
"121","1971","3","Gujarat","Ahmedabad","-1.0","78.0","86.0","60.5","63.5","-1.0","-1.0","47.5","88.0","98.0","123.0","188.5","123.0","134.7","-1.0","-1.0","226.0"
"121","1972","3","Gujarat","Ahmedabad","-1.0","135.0","150.0","120.0","125.0","-1.0","-1.0","-1.0","155.0","150.0","178.3","143.0","-1.0","200.0","-1.0","-1.0","240.0"
"121","1973","3","Gujarat","Ahmedabad","-1.0","212.9","162.5","156.5","127.1","-1.0","-1.0","-1.0","200.0","204.7","225.0","300.0","-1.0","250.0","-1.0","-1.0","329.5"
"121","1974","3","Gujarat","Ahmedabad","-1.0","244.0","183.9","155.0","176.4","-1.0","-1.0","100.0","-1.0","230.0","271.3","-1.0","-1.0","-1.0","-1.0","-1.0","221.3"
"121","1975","3","Gujarat","Ahmedabad","-1.0","138.4","136.2","114.3","107.4","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","250.1"
"121","1976","3","Gujarat","Ahmedabad","-1.0","121.2","135.7","114.3","106.8","-1.0","-1.0","82.0","-1.0","161.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","472.3"
"121","1977","3","Gujarat","Ahmedabad","-1.0","122.9","153.6","129.2","102.2","-1.0","-1.0","110.8","241.7","306.0","200.0","-1.0","-1.0","233.0","-1.0","300.0","300.9"
"121","1978","3","Gujarat","Ahmedabad","-1.0","145.4","143.7","103.3","120.4","-1.0","-1.0","-1.0","235.0","280.3","-1.0","-1.0","-1.0","225.0","-1.0","-1.0","225.0"
"121","1979","3","Gujarat","Ahmedabad","-1.0","134.5","161.0","117.8","129.0","-1.0","-1.0","121.6","290.5","263.7","-1.0","-1.0","-1.0","291.6","-1.0","-1.0","306.7"
"121","1980","3","Gujarat","Ahmedabad","-1.0","192.0","175.0","137.0","141.7","-1.0","-1.0","-1.0","225.0","275.0","-1.0","-1.0","437.0","284.0","-1.0","-1.0","-1.0"
"121","1981","3","Gujarat","Ahmedabad","-1.0","165.6","202.5","147.5","147.5","135.0","-1.0","-1.0","-1.0","290.0","300.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"121","1982","3","Gujarat","Ahmedabad","-1.0","204.0","229.1","159.0","229.1","177.0","-1.0","-1.0","277.0","392.0","-1.0","690.0","-1.0","375.0","-1.0","-1.0","-1.0"
"121","1983","3","Gujarat","Ahmedabad","-1.0","161.9","196.1","-1.0","134.2","-1.0","-1.0","-1.0","315.9","371.0","-1.0","673.0","-1.0","465.1","-1.0","-1.0","499.1"
"121","1984","3","Gujarat","Ahmedabad","-1.0","182.4","224.3","156.2","156.5","150.0","-1.0","198.9","443.7","374.6","448.3","579.7","376.3","336.7","-1.0","-1.0","543.7"
"121","1985","3","Gujarat","Ahmedabad","-1.0","234.0","253.0","142.0","247.0","233.0","-1.0","348.0","497.0","444.0","403.0","536.0","418.0","328.0","-1.0","-1.0","409.0"
"121","1986","3","Gujarat","Ahmedabad","-1.0","218.0","270.0","185.0","185.0","-1.0","-1.0","-1.0","388.0","561.0","-1.0","990.0","535.1","-1.0","-1.0","-1.0","560.0"
"121","1987","3","Gujarat","Ahmedabad","-1.0","297.0","292.0","237.0","244.0","-1.0","-1.0","-1.0","-1.0","644.0","-1.0","995.0","615.0","633.0","-1.0","-1.0","1025.0"
"121","1988","3","Gujarat","Ahmedabad","-1.0","304.0","265.0","197.0","192.0","-1.0","-1.0","-1.0","537.0","525.9","-1.0","-1.0","546.0","536.0","-1.0","-1.0","893.0"
"121","1989","3","Gujarat","Ahmedabad","-1.0","315.0","272.0","245.0","224.0","-1.0","-1.0","-1.0","550.0","-1.0","-1.0","-1.0","672.0","644.0","-1.0","-1.0","1100.0"
"121","1990","3","Gujarat","Ahmedabad","-1.0","350.0","384.0","241.0","273.0","-1.0","-1.0","-1.0","683.0","-1.0","-1.0","-1.0","866.0","675.0","-1.0","-1.0","1005.0"
"121","1991","3","Gujarat","Ahmedabad","-1.0","450.0","480.0","285.0","265.0","-1.0","-1.0","-1.0","835.0","-1.0","-1.0","-1.0","895.0","565.0","-1.0","-1.0","860.0"
"121","1992","3","Gujarat","Ahmedabad","-1.0","490.0","447.0","285.0","286.0","-1.0","-1.0","-1.0","818.0","-1.0","-1.0","-1.0","1025.0","875.0","-1.0","-1.0","1305.0"
"121","1993","3","Gujarat","Ahmedabad","-1.0","519.0","515.0","308.0","435.0","-1.0","-1.0","-1.0","1348.0","-1.0","-1.0","-1.0","1120.0","1056.0","-1.0","-1.0","1511.0"
"121","1994","3","Gujarat","Ahmedabad","-1.0","525.0","504.0","494.0","474.0","-1.0","-1.0","-1.0","807.0","-1.0","-1.0","-1.0","950.0","960.0","-1.0","-1.0","2375.0"
"121","1995","3","Gujarat","Ahmedabad","-1.0","590.0","560.0","470.0","500.0","461.0","471.0","-1.0","840.0","1622.0","1326.0","-1.0","1120.0","930.0","-1.0","1056.0","1794.0"
"121","1996","3","Gujarat","Ahmedabad","-1.0","605.0","735.0","530.0","540.0","491.0","-1.0","-1.0","1270.0","1495.0","1250.0","1761.0","1125.0","1150.0","-1.0","952.0","-1.0"
"121","1997","3","Gujarat","Ahmedabad","-1.0","665.0","740.0","570.0","575.0","430.0","-1.0","-1.0","-1.0","1651.0","1345.0","2057.0","1650.0","1900.0","-1.0","1251.0","2025.0"
"121","1998","3","Gujarat","Ahmedabad","-1.0","608.0","-1.0","660.0","-1.0","-1.0","693.0","1506.0","-1.0","-1.0","-1.0","-1.0","1489.0","2094.0","-1.0","-1.0","1625.0"
"121","1999","3","Gujarat","Ahmedabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1487.0","1285.0","-1.0","-1.0","1681.0"
"121","2000","3","Gujarat","Ahmedabad","-1.0","785.0","793.0","634.0","519.0","-1.0","-1.0","-1.0","1455.0","-1.0","-1.0","-1.0","1178.0","1993.0","-1.0","-1.0","2057.0"
"121","2001","3","Gujarat","Ahmedabad","-1.0","700.0","864.0","550.0","545.0","-1.0","-1.0","-1.0","1543.0","-1.0","-1.0","-1.0","1205.0","1250.0","-1.0","-1.0","1590.0"
"121","2002","3","Gujarat","Ahmedabad","-1.0","660.0","738.0","631.0","562.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1640.0","1228.0","-1.0","-1.0","1368.0"
"121","2003","3","Gujarat","Ahmedabad","-1.0","668.0","809.0","435.0","573.0","-1.0","-1.0","-1.0","1383.0","-1.0","-1.0","-1.0","1600.0","1116.0","-1.0","-1.0","2239.0"
"121","2004","3","Gujarat","Ahmedabad","-1.0","1194.0","971.0","892.0","859.0","-1.0","-1.0","-1.0","1445.0","-1.0","-1.0","-1.0","1255.0","1261.0","-1.0","-1.0","-1.0"
"121","2005","3","Gujarat","Ahmedabad","-1.0","619.0","981.0","464.0","487.0","-1.0","-1.0","-1.0","1939.0","-1.0","-1.0","3062.0","1469.0","1472.0","-1.0","-1.0","-1.0"
"121","2006","3","Gujarat","Ahmedabad","-1.0","671.0","1065.0","515.0","537.0","-1.0","-1.0","-1.0","2067.0","-1.0","-1.0","-1.0","1564.0","1610.0","-1.0","-1.0","-1.0"
